,loss
0,3.5828401865819095
1,3.4783759971369284
2,3.468845910951033
3,3.460755676585976
4,3.455979810256232
5,3.4550525928066445
6,3.4521889157861434
7,3.4515549208341576
8,3.4488389583772303
9,3.449552848509732
10,3.4485781182915307
11,3.447189016484208
12,3.444324494197342
13,3.4418992173538556
14,3.4259945204990876
15,3.381314485192447
16,3.3449819102778533
17,3.2863684561709308
18,3.229811721564227
19,3.2075587027221855
20,3.1827828782523127
21,3.163483755125899
22,3.1393237626892896
23,3.137765750245807
24,3.1194574191740934
25,3.0812169277426324
26,3.0850467686816883
27,3.1044517538988448
28,3.0741036615935937
29,3.048478435473744
30,3.0467202071567483
31,3.028320390526105
32,3.0134933677447644
33,3.0263683418128724
34,2.9975783022958282
35,2.9963566610820047
36,2.981173304422463
37,2.96904546769631
38,2.9690657460990404
39,2.9395757433694407
40,2.929373032996415
41,2.922770476706224
42,2.9146811779639323
43,2.895603618791491
44,2.8827586481775387
45,2.859828690926201
46,2.8602813506451925
47,2.846520724551067
48,2.836705287922302
49,2.8403254164907623
50,2.8270490188267194
51,2.7901925567166095
52,2.7666806288874244
53,2.7618491898206425
54,2.7510690656534935
55,2.7620142207542235
56,2.6990292260703046
57,2.692474473839611
58,2.688984386182098
59,2.659469538697735
60,2.6456366541171596
61,2.6401116630978754
62,2.6433866878260153
63,2.621058692801921
64,2.5981345947093595
65,2.6100434672008825
66,2.55288004451021
67,2.561321142048297
68,2.560581123330744
69,2.5176333964832764
70,2.4960846416605964
71,2.4768330701185644
72,2.4710041124267326
73,2.4589316361592632
74,2.4354203859044343
75,2.4097582847064913
76,2.377879260342921
77,2.3999857526699473
78,2.3542204705160614
79,2.3303036228112064
80,2.312650806606926
81,2.315665582807586
82,2.2953804647029803
83,2.280475318752442
84,2.260992380524155
85,2.2367807520190497
86,2.206597844381494
87,2.192892602321576
88,2.18708602253642
89,2.158224569158116
90,2.167789677326769
91,2.1287066011227602
92,2.090455084040385
93,2.099388305342883
94,2.0875375603761466
95,2.04798828322482
96,2.010218872479481
97,1.9914881947319716
98,2.032058529879468
99,2.0280243274245224
100,2.037209896100273
101,1.9918230062286668
102,1.9824310661989843
103,1.9465884879249948
104,1.9273713057229576
105,1.886770638395648
106,1.914080374291183
107,1.8746451770267951
108,1.8435543776544896
109,1.7985901380798568
110,1.8644959615881798
111,1.8210036858675842
112,1.7873073821724768
113,1.7322095010119822
114,1.7345314430805785
115,1.710033297982648
116,1.7089776032021284
117,1.7281579190066
118,1.6820343989797204
119,1.663009819064103
120,1.690962007630695
121,1.689233094046912
122,1.679253775174824
123,1.6756149215741645
124,1.6038047063927736
125,1.639995232415584
126,1.5662541594148225
127,1.5582964879005567
128,1.5399322670059457
129,1.5184669269724331
130,1.552772650306364
131,1.5091405224592962
132,1.5126121188176778
133,1.4787978421670127
134,1.445110647353842
135,1.4680190882408575
136,1.4346321877192307
137,1.4049677890492314
138,1.4047622367967787
139,1.380760019309865
140,1.3609715887570015
141,1.374947651635037
142,1.3709424774312362
143,1.3574327934266714
144,1.3210740003597652
145,1.2958318799006627
146,1.2993020795325776
147,1.2959543942024159
148,1.279158833306044
149,1.2819362637125662
150,1.3245268338566039
