,loss
0,3.627094955842851
1,3.4836072961209874
2,3.4800748685987517
3,3.475699570142488
4,3.472798165182067
5,3.4641739987715443
6,3.4645371456801226
7,3.4619470746447147
8,3.460372660640453
9,3.460080136629388
10,3.4573584254931258
11,3.4609963456904733
12,3.4521893822658543
13,3.4546858935894726
14,3.452812115713048
15,3.4547775135979357
16,3.4526976668050477
17,3.4509945417861085
18,3.4500994726701073
19,3.443535724552298
20,3.413763153094322
21,3.3054196139135588
22,3.2502972053800874
23,3.2064999274394705
24,3.1354955453048032
25,3.151816925333707
26,3.096620210202509
27,3.057756791491621
28,3.090466827511738
29,3.0609083700436526
30,3.0437756821691964
31,3.0498944942646395
32,3.033195896192084
33,3.026617713935325
34,3.016569464375374
35,3.001236670856689
36,2.981214385216129
37,2.9842723144891097
38,2.9622005220775423
39,2.9543153044109163
40,2.932164861586748
41,2.956407626305526
42,2.960849405370767
43,2.9242071185074514
44,2.934470814222337
45,2.9197675438029833
46,2.8937013755911978
47,2.944856655316556
48,2.9297009864818175
49,2.883260834646166
50,2.895821328591255
51,2.8916099366443335
52,2.8610758591053354
53,2.8396726772219965
54,2.850991519561818
55,2.8311609513610665
56,2.803436799832598
57,2.818209299924801
58,2.813787675663416
59,2.7997255031363157
60,2.7823075292324497
61,2.7542733388544853
62,2.743968677362924
63,2.7566123449659368
64,2.7564300239998594
65,2.7214906091378355
66,2.7113783468034183
67,2.696552836603994
68,2.6966626648080214
69,2.6942107051080746
70,2.6925557017770245
71,2.680105058131851
72,2.663020192960298
73,2.638827171511131
74,2.5955809070198903
75,2.6149271486414136
76,2.718681517148442
77,2.619218985798638
78,2.590248065888512
79,2.5537432086433216
80,2.5576175340306033
81,2.5481507394448952
82,2.518466126588341
83,2.5521633621084825
84,2.5108966633560343
85,2.5271508477668303
86,2.506763694401758
87,2.4586083761758926
88,2.480401138752317
89,2.468375119681589
90,2.4434049829846827
91,2.4171271385315976
92,2.412523245091373
93,2.4600006720227645
94,2.3617277683973015
95,2.374692048126871
96,2.36425123236423
97,2.3365891687032554
98,2.365930002831604
99,2.2873716068307277
100,2.3176425131678235
101,2.287036023950794
102,2.28200997820954
103,2.246666817217264
104,2.2410229720209176
105,2.211968701883047
106,2.225065816371067
107,2.17314562414814
108,2.1650516071445844
109,2.17970345855795
110,2.158793646587929
111,2.18497575448967
112,2.1626253086128755
113,2.0924936960095653
114,2.1393058222090846
115,2.0952769035044216
116,2.080250536453443
117,2.049184043791159
118,2.035622606752922
119,2.046503115154072
120,2.011321016318748
121,1.9488793179966173
122,2.0441658605363284
123,1.9631892582282184
124,1.8875392318807656
125,1.981758846840091
126,1.960339942943177
127,2.0089513795850293
128,1.9319008001375653
129,1.8863168784691176
130,1.833063781877959
131,1.8748883454327154
132,1.8284500741642962
133,1.919336536278841
134,1.882232770477882
135,1.7990444824130367
136,1.785109160308459
137,1.8094119151663475
138,1.7547290069187875
139,1.7151924748039955
140,1.7556682266279544
141,1.7058152002295928
142,1.7240604143474139
143,1.664690028649497
144,1.6156959784242995
145,1.6391250040100092
146,1.6762551893909756
147,1.6206184474702803
148,1.6210932668004097
149,1.586916049502337
150,1.6183263431859993
151,1.6506946189964808
