57,83,720
57,0,60
62,66,0
62,0,60
66,66,0
66,0,60
69,66,0
69,0,60
66,86,0
66,0,240
62,77,0
62,0,240
74,56,0
74,0,60
69,52,180
69,0,60
71,55,180
71,0,60
73,49,0
73,0,60
71,60,0
71,0,120
69,56,0
69,0,240
57,83,240
57,0,60
62,66,0
62,0,60
66,66,0
66,0,60
69,66,0
69,0,60
66,86,0
66,0,240
62,77,0
62,0,240
78,56,0
81,64,0
81,0,60
74,52,180
78,60,0
78,0,60
76,46,180
79,55,0
79,0,60
81,49,0
81,0,60
79,60,0
79,0,120
74,47,0
78,56,0
78,0,240
74,60,240
74,0,60
78,51,0
78,0,60
81,52,0
81,0,60
86,52,0
86,0,60
72,67,0
72,0,720
84,60,0
84,0,60
81,51,0
81,0,60
78,52,0
78,0,60
72,52,0
72,0,60
71,67,0
71,0,720
71,60,0
71,0,60
74,51,0
74,0,60
79,52,0
79,0,60
83,52,0
83,0,60
78,54,0
81,64,0
81,0,60
74,44,180
78,53,0
78,0,60
79,59,180
76,49,0
76,0,60
73,44,180
76,44,0
76,0,60
76,50,180
73,42,0
73,0,480
78,40,0
74,33,0
74,0,240
74,60,0
74,0,60
78,51,0
78,0,60
81,52,0
81,0,60
86,52,0
86,0,60
72,67,0
72,0,720
84,60,0
84,0,60
81,51,0
81,0,60
78,52,0
78,0,60
72,52,0
72,0,60
71,67,0
71,0,720
83,60,0
83,0,80
85,56,0
85,0,80
86,56,0
86,0,80
85,60,0
85,0,80
83,55,0
83,0,80
81,51,0
81,0,80
79,59,0
79,0,80
78,51,0
78,0,80
76,51,0
76,0,80
74,55,0
74,0,80
73,49,0
73,0,80
71,49,0
71,0,80
69,52,0
69,0,60
67,49,0
67,0,60
66,49,0
66,0,60
64,48,0
64,0,60
62,60,0
62,0,480
57,53,240
57,0,240
62,60,0
62,0,120
61,52,0
61,0,90
64,60,30
64,0,120
62,54,0
62,0,90
66,60,30
66,0,120
64,54,0
64,0,90
67,60,30
67,0,120
66,49,0
66,0,90
66,57,30
62,48,0
62,0,480
64,50,0
61,42,0
61,0,180
57,53,60
57,0,240
64,60,0
64,0,120
63,52,0
63,0,90
66,60,30
66,0,120
64,54,0
64,0,90
67,60,30
67,0,120
66,54,0
66,0,90
69,60,30
69,0,120
67,49,0
67,0,90
67,57,30
64,48,0
64,0,480
66,50,0
62,42,0
62,0,180
62,58,60
62,0,240
67,66,0
67,0,120
66,57,0
66,0,90
69,66,30
69,0,120
67,59,0
67,0,90
71,66,30
71,0,120
69,59,0
69,0,90
74,66,30
74,0,120
73,53,0
73,0,90
71,62,30
71,0,120
71,62,120
71,0,120
74,57,0
74,0,120
69,62,0
69,0,120
67,55,360
67,0,30
66,48,0
66,0,30
67,62,0
67,0,60
67,62,120
67,0,120
71,57,0
71,0,120
66,62,0
66,0,120
71,60,360
71,0,30
69,52,0
69,0,30
71,68,0
71,0,60
71,68,120
71,0,120
74,62,0
74,0,120
69,68,0
69,0,120
67,55,360
67,0,30
66,48,0
66,0,30
67,62,0
67,0,60
67,62,120
67,0,120
71,57,0
71,0,120
66,62,0
66,0,120
63,55,360
63,0,120
64,55,0
64,0,120
66,58,0
66,0,120
67,58,0
67,0,120
69,62,0
69,0,120
71,55,0
71,0,120
67,61,0
67,0,120
64,51,0
64,0,120
62,57,0
62,0,960
61,50,0
61,0,240
64,83,480
64,0,60
69,66,0
69,0,60
73,66,0
73,0,60
76,66,0
76,0,60
73,86,0
73,0,240
69,83,0
69,0,60
73,66,0
73,0,60
76,66,0
76,0,60
81,66,0
81,0,60
76,86,0
76,0,240
76,95,0
76,0,60
81,75,0
81,0,60
85,75,0
85,0,60
88,75,0
88,0,60
85,102,0
85,0,240
69,61,480
69,0,60
